Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1941-12-30,244.0,Scrapped 1958,14,1941-04-30,1941-09-27,Patrick Henry,Patrick Henry,Bethlehem-Fairfield Shipyards,Cargo
1941-12-31,226.0,Torpedoed and lost off Trinidad 1942,171,1941-05-19,1941-09-27,Star of Oregon,Star of Oregon (ship),Oregon Shipbuilding Corp,Cargo
1942-01-27,253.0,Torpedoed and lost in the North Atlantic 1943,170,1941-05-19,1941-10-19,Meriwether Lewis,Meriwether Lewis,Oregon Shipbuilding Corp,Cargo
1942-01-29,222.0,Scrapped 1967,16,1941-06-21,1941-11-15,Francis Scott Key,Francis Scott Key,Bethlehem-Fairfield Shipyards,Cargo
1942-02-03,248.0,Torpedoed and lost in the Greenland Sea 1942,172,1941-05-31,1941-10-26,William Clark,William Clark,Oregon Shipbuilding Corp,Cargo
1942-02-09,233.0,Torpedoed and lost in the South Atlantic 1943,17,1941-06-21,1941-12-06,Roger B Taney,Roger B. Taney,Bethlehem-Fairfield Shipyards,Cargo
1942-02-11,256.0,Torpedoed and lost in the North Atlantic 1943,173,1941-05-31,1941-11-16,Robert Gray,Robert Gray,Oregon Shipbuilding Corp,Cargo
1942-02-12,181.0,Set aside due to defect; later became USAS American Mariner in 1958; scrapped 1966.,20,1941-08-15,1941-12-30,American Mariner,George Calvert,Bethlehem-Fairfield Shipyards,Cargo
1942-02-17,221.0,Torpedoed and lost in the Indian Ocean 1944,174,1941-07-11,1941-11-23,John Barry,John Barry,Oregon Shipbuilding Corp,Cargo
1942-02-17,271.0,"Sold private 1947, scrapped 1970",145,1941-05-22,1941-12-06,Zebulon B Vance,Zebulon B. Vance,North Carolina Shipbuilding Co,Cargo
1942-02-20,220.0,Scrapped 1965,18,1941-07-15,1941-12-06,Richard Henry Lee,Richard Henry Lee,Bethlehem-Fairfield Shipyards,Cargo
1942-02-21,273.0,"First Liberty delivered by a West Coast yard. Mined in Manila Bay 1945, scrapped",64,1941-05-24,1941-09-27,John C Freemont,John C. Frémont,California Shipbuilding Corp,Cargo
1942-02-23,159.0,"Wrecked off Devon 1945, scuttled with obsolete ammo 1946",241,1941-09-17,1941-12-31,James Otis,James Otis,Permanente Metals Co Yard,Cargo
1942-02-24,221.0,Scrapped 1961,175,1941-07-18,1941-12-07,Thomas Jefferson,Thomas Jefferson,Oregon Shipbuilding Corp,Cargo
1942-02-27,227.0,"Mined in the Denmark Strait 1942, salvaged and hulked, scrapped 1952",19,1941-07-15,1941-12-30,John Randolph,John Randolph,Bethlehem-Fairfield Shipyards,Cargo
1942-02-28,225.0,Torpedoed and lost off Cuba 1942,176,1941-07-18,1941-12-14,John Hancock,John Hancock,Oregon Shipbuilding Corp,Cargo
1942-03-07,287.0,Scrapped 1960,65,1941-05-24,1941-10-26,Thomas Paine,Thomas Paine,California Shipbuilding Corp,Cargo
1942-03-07,232.0,"Sold private 1947, scrapped 1969",177,1941-07-18,1941-12-21,Philip Livingston,Philip Livingston,Oregon Shipbuilding Corp,Cargo
1942-03-10,171.0,Scrapped 1962,229,1941-09-20,1941-12-28,Alexander Hamilton,Alexander Hamilton,Oregon Shipbuilding Corp,Cargo
1942-03-12,294.0,"Torpedoed off Oran and beached 1943, TL",146,1941-05-22,1942-01-17,Nathanael Greene,Nathanael Greene,North Carolina Shipbuilding Co,Cargo
1942-03-13,167.0,Torpedoed and scuttled in the North Atlantic 1943,25,1941-09-27,1942-01-24,Benjamin Harrison,Benjamin Harrison,Bethlehem-Fairfield Shipyards,Cargo
1942-03-15,176.0,Scrapped 1969,230,1941-09-20,1942-01-10,Robert Fulton,Robert Fulton,Oregon Shipbuilding Corp,Cargo
1942-03-16,180.0,Torpedoed and lost off New Caledonia 1942,242,1941-09-17,1942-01-18,John Adams,John Adams,Permanente Metals Co Yard,Cargo
1942-03-18,196.0,"Sold private 1947, scrapped 1968",22,1941-09-03,1942-01-24,Carter Braxton,Carter Braxton,Bethlehem-Fairfield Shipyards,Cargo
1942-03-20,183.0,Scrapped 1966,231,1941-09-18,1942-01-21,Stephen A Douglas,Stephen A. Douglas,Oregon Shipbuilding Corp,Cargo
1942-03-21,273.0,Scrapped 1958,66,1941-06-21,1941-11-16,Benjamin Franklin,Benjamin Franklin,California Shipbuilding Corp,Cargo
1942-03-24,154.0,Scrapped 1967,179,1941-10-21,1942-01-28,Thomas MacDonough,Thomas MacDonough,Oregon Shipbuilding Corp,Cargo
1942-03-27,303.0,"Mined off Bizerta 1944, TL but salvaged, scrapped 1948",147,1941-05-28,1942-02-03,Virginia Dare,Virginia Dare,North Carolina Shipbuilding Co,Cargo
1942-03-28,179.0,"Partially converted to troop ship, WSA owned; reserve fleet Wilmington, NC 11/47. Scrapped 1960",178,1941-09-30,1942-02-04,John Jay,John Jay,Oregon Shipbuilding Corp,Cargo
1942-03-30,276.0,Scrapped 1970,67,1941-06-27,1941-12-03,John Paul Jones,John Paul Jones,California Shipbuilding Corp,Cargo
1942-03-30,217.0,Torpedoed from the air and scuttled in the Barents Sea 1942,21,1941-08-25,1942-02-15,Christopher Newport,Christopher Newport,Bethlehem-Fairfield Shipyards,Cargo
1942-03-31,195.0,Scrapped 1966,243,1941-09-17,1942-02-06,Kit Carson,Kit Carson,Permanente Metals Co Yard,Cargo
1942-04-01,157.0,"Torpedoed off Sydney 1942, Sunk 22 July 1942",180,1941-10-26,1942-02-07,William Dawes,William Dawes,Oregon Shipbuilding Corp,Cargo
1942-04-04,136.0,Scrapped 1967,181,1941-11-19,1942-02-15,Philip Schuyler,Philip Schuyler,Oregon Shipbuilding Corp,Cargo
1942-04-07,228.0,Torpedoed from the air and lost in the Barents Sea 1942,148,1941-08-22,1942-02-21,William Hooper,William Hooper,North Carolina Shipbuilding Co,Cargo
1942-04-08,272.0,Scrapped 1965,68,1941-07-10,1941-12-21,Paul Revere,Paul Revere,California Shipbuilding Corp,Cargo
1942-04-08,133.0,Wrecked and scuttled off Ascension 1942,182,1941-11-26,1942-02-19,George Clymer,George Clymer,Oregon Shipbuilding Corp,Cargo
1942-04-11,123.0,"To U.S. Navy as Sterope (AK-96), scrapped 1964",183,1941-12-09,1942-02-22,James Wilson,James Wilson,Oregon Shipbuilding Corp,Cargo
1942-04-11,211.0,Scrapped 1967,23,1941-09-12,1942-02-22,Samuel Chase,Samuel Chase,Bethlehem-Fairfield Shipyards,Cargo
1942-04-13,189.0,Scrapped 1961,244,1941-10-06,1942-02-28,Zachary Taylor,Zachary Taylor,Permanente Metals Co Yard,Cargo
1942-04-15,120.0,Scrapped 1966,184,1941-12-16,1942-02-25,John Hart,John Hart,Oregon Shipbuilding Corp,Cargo
1942-04-15,272.0,"To U.S. Navy as Ara (AK-136), scrapped 1972",69,1941-07-17,1942-01-14,Daniel Boone,Daniel Boone,California Shipbuilding Corp,Cargo
1942-04-16,225.0,"Torpedoed Northern Russia 7 May 1942 - Wreck beached Kola Bay, just outside Murmansk. Survives to this day.",149,1941-09-03,1942-03-08,Daniel Morgan,Daniel Morgan,North Carolina Shipbuilding Co,Cargo
1942-04-17,170.0,Torpedoed and lost in the Arctic 1942,28,1941-10-29,1942-02-28,Richard Bland,Richard Bland,Bethlehem-Fairfield Shipyards,Cargo
1942-04-18,117.0,Scrapped 1962,185,1941-12-22,1942-03-05,Henry W Longfellow,Henry W. Longfellow,Oregon Shipbuilding Corp,Cargo
1942-04-21,113.0,Scrapped 1973,232,1941-12-29,1942-03-11,John Dickinson,John Dickinson,Oregon Shipbuilding Corp,Cargo
1942-04-23,199.0,Scrapped 1960,245,1941-10-06,1942-03-15,Anthony Wayne,Anthony Wayne,Permanente Metals Co Yard,Cargo
1942-04-23,134.0,Torpedoed and lost in the Kara Sea 1942,31,1941-12-10,1942-03-04,John Witherspoon,John Witherspoon,Bethlehem-Fairfield Shipyards,Cargo
1942-04-24,275.0,Scrapped 1972,70,1941-07-23,1942-01-28,Robert Morris,Robert Morris,California Shipbuilding Corp,Cargo
1942-04-24,102.0,Scrapped 1970,233,1942-01-12,1942-03-17,Fisher Ames,Fisher Ames,Oregon Shipbuilding Corp,Cargo
